created_at,username,cleaned_text,hashtags,favorite_count,retweet_count,reply_count,quote_count,image_url,location,lang,tweet_url,engagement,sentiment
2025-09-14 07:03:32+00:00,,berita yang bagus free palestine 17 september ojo demo,[],1025,274,15,0,https://pbs.twimg.com/media/G0yfDhHaMAAHtkS.jpg,,in,https://x.com/undefined/status/1967122023064449227,1299,positive
2025-09-14 01:58:14+00:00,,absolutely waktu rame demo ruu tni pun masih pada unggah fotovideo kegiatan persit its their dream,[],1156,45,1,5,,,in,https://x.com/undefined/status/1967045190688141335,1201,neutral
2025-09-14 10:21:04+00:00,,intinyadeh ttg darurat militer gt majalah tempo 7 sep saat demo memanas menhan sjafrie sjamsoeddin usulin darurat militer gt nanti tentara akan pimpin upaya meredam demo gt menhan jg sodorin draf perppu kedaruratan gt usulan disampein pas ratas di rumah prabowo 29 agu 12,['intinyadeh'],338,100,8,4,,,in,https://x.com/undefined/status/1967171733401780418,438,neutral
2025-09-14 08:12:57+00:00,,demo bayaran aja underpaid,[],320,18,9,1,,,in,https://x.com/undefined/status/1967139491585683540,338,negative
2025-09-13 22:47:21+00:00,,mencermati aksi demo anti islam yang dilakukan oleh para ekstrimis kanan di inggris ini aneh kenapa dulu amerika dan inggris menjajah iraq dan afghanistan dan skrg membuat kekacauan di timur tengah dengan mendukung israel akhirnya banyak pengungsi dari timur tengah ke inggris,[],224,61,12,4,https://pbs.twimg.com/media/G0wtV9fbMAAiH6U.jpg,,in,https://x.com/undefined/status/1966997155018850691,285,negative
2025-09-13 15:42:30+00:00,,kok keknya dimana2 demo ya,[],239,0,6,0,,,in,https://x.com/undefined/status/1966890238493827184,239,negative
2025-09-13 06:03:47+00:00,,itu halaman dpr dah luas kalau ada demo tinggal buka gerbang biar massa unjuk rasa di halaman dpr kalau bikin lapangam demokrasi ntar cuma ketemunya proyek lagi,[],230,5,0,0,,,in,https://x.com/undefined/status/1966744599357256014,235,negative
2025-09-14 01:43:06+00:00,,pelajar selalu ditempatkan sebagai korban kalau turun demo dianggap gapunya kemampuan mengambil keputusan untuk turun dan memberikan kritik eh giliran keracunan mbg dan gadapat akses pendidikan tidak pernah ditempatkan sebagai korban,[],151,82,1,0,,,in,https://x.com/undefined/status/1967041382666977752,233,negative
2025-09-13 09:41:55+00:00,,pidato seorang siswa sekolah menengah atas sma abiskar raut atau avishkar raut disebut menjadi pemantik massa melakukan demo nepal 2025 klik untuk baca nepal demo,"['Nepal', 'Demo']",118,31,21,9,https://pbs.twimg.com/media/G0t5mhGbEAA5nC-.jpg,,in,https://x.com/undefined/status/1966799495812743423,149,neutral
2025-09-13 08:32:44+00:00,,demo yg berubah tuntutan,[],93,51,6,2,https://pbs.twimg.com/ext_tw_video_thumb/1966782035953090560/pu/img/oxv1Dx6AMP6n1QFf.jpg,,in,https://x.com/undefined/status/1966782082837082184,144,negative
2025-09-13 14:01:39+00:00,,ini salah satu alasan saya ga reaktif pas kmarin demo dpr thousands of mutuals comes with great responsibilty is real diluar sana provokator gampang mancing naikin amarah di grassroot bersyukur negara kita ga jadi junta militer di pasar modal pas turun ga panik dan,[],111,9,2,1,,,in,https://x.com/undefined/status/1966864857917256178,120,positive
2025-09-13 15:41:24+00:00,,rakyat lagi suka keharmonian dari menghancurkan negara kita yang indah ini turun ketepi sarong turun demo sg baru,[],85,21,6,2,https://pbs.twimg.com/amplify_video_thumb/1966793962796314628/img/yySR8_6nVs0Sdcbd.jpg,,in,https://x.com/undefined/status/1966889960654676368,106,negative
2025-09-14 08:59:36+00:00,,jujur gw gapapa yang demo teriak dikasih 400 ribu warga miskin kota jabotabek ada berapa antriin aja depan gibran semua,[],60,14,1,0,,,in,https://x.com/undefined/status/1967151231601959027,74,negative
2025-09-13 10:35:10+00:00,,ya emang bahaya tapi masalahnya tidak bisa dilawan tsunami ai ini yakali mau pergi demo suruh stop pengembangan ai ke palo alto atau shenzen makanya tugas orang2 masyarakat madani macam ente turun kebawah mendidik masyarakat marhaen mumpung masih ada waktu,[],57,9,3,0,,,in,https://x.com/undefined/status/1966812896014606396,66,negative
2025-09-13 12:04:00+00:00,,nowplaying m1 takashi ohashi judas kiss demo mind_o_nation m_o_n1300回oa記念 大橋隆志 ジェイル大橋,"['NowPlaying', 'mind_o_nation', 'M_O_N1300回OA記念', '大橋隆志', 'ジェイル大橋']",47,18,0,1,,,in,https://x.com/undefined/status/1966835251394560137,65,neutral
2025-09-14 04:20:58+00:00,,malah itu yang overused ka kasus demo kemaren udh banyak bgt yang ngangkat,[],63,0,0,0,,,in,https://x.com/undefined/status/1967081114201403398,63,negative
2025-09-13 09:35:01+00:00,,wait klo emng bener bikin story pas demo rame kan tanggal 1an tapi masi berani bikin sg bareng di mobil ngawur anjir nantangin bngt cok,[],51,5,0,1,,,in,https://x.com/undefined/status/1966797758184214547,56,negative
2025-09-14 06:19:55+00:00,,usai nepal kini tetangga ri demo besarbesaran,[],48,7,6,3,,,in,https://x.com/undefined/status/1967111045295862100,55,neutral
2025-09-14 09:11:51+00:00,,wes koyok demo tapi format konser,[],47,6,0,1,https://pbs.twimg.com/media/G0y8avAbwAA0mBg.jpg,,in,https://x.com/undefined/status/1967154314696364338,53,neutral
2025-09-14 00:05:45+00:00,,mantap akhirnya demo nggak usah jauhjauh cukup di halaman dpr tinggal sekalian bikin tribun vip biar anggota dewan bisa nonton sambil ngemil,[],48,1,0,0,,,in,https://x.com/undefined/status/1967016884353864165,49,neutral
2025-09-13 13:54:30+00:00,,tulisan saya tentang demo besar di indonesia di indoprogress,[],38,10,1,0,,,in,https://x.com/undefined/status/1966863059332592088,48,neutral
2025-09-14 10:35:21+00:00,,mau up sendiri apa harus di demo dulu,[],48,0,3,0,,,in,https://x.com/undefined/status/1967175329195471215,48,negative
2025-09-13 09:08:44+00:00,,indonesian x jadi orang jangan dikitdikit overproud sama keberhasilan negara napa also indonesian x menurut saya karena mereka warga australia yang mau demo melihat kekompakan rakyat indonesia dan demo kita berhasil membuat perubahan,[],29,11,0,0,,,in,https://x.com/undefined/status/1966791144853090514,40,positive
2025-09-13 17:16:47+00:00,,tuh gara gara buzzer termul nyinyir yg ikut aksi pakai dior orang kaya ikut demo malahan bagus berarti dia sadar kelas class conscious nggak semua orang kaya oligarch,[],35,1,0,2,,,in,https://x.com/undefined/status/1966913963431784719,36,negative
2025-09-13 11:40:55+00:00,,jangan samakan demonstran dengan pelaku tindakan anarkis mosok pelaku tindak kejahatan disamakan dengan mahasiswa buruh dan ojol yang menyampaikan aspirasi sesuai aturan yang bener aja dong video selengkapnya pembunuh provokator dan perusak saat demo diampuni yang,[],31,5,1,0,https://pbs.twimg.com/ext_tw_video_thumb/1966829340865556485/pu/img/m2xRXipEGSdkSnlB.jpg,,in,https://x.com/undefined/status/1966829443248517271,36,negative
2025-09-14 03:06:51+00:00,,posko orang hilang pasca demo justru membuka borok aparat gagal menjaga lalu pura² peduli setelah nyawa rakyat raib,[],28,7,0,0,,,in,https://x.com/undefined/status/1967062462165119332,35,negative
2025-09-13 12:42:20+00:00,,nepal sudah mulai memasang spanduk demo di jalanan,[],29,1,0,0,https://pbs.twimg.com/media/G0ujAY4bcAcrGY_.jpg,,in,https://x.com/undefined/status/1966844898981851567,30,neutral
2025-09-13 11:08:40+00:00,,terlebih sih ak takut di demo readers garis keras tacenda yg udah ikut stress baca nya,[],29,0,10,0,,,in,https://x.com/undefined/status/1966821325026267622,29,negative
2025-09-13 13:41:01+00:00,,boléh juga nih usul menteri gokil bener² out of the box rakyat minta lapangan kerja eh malah disediakan lapangan demo,[],19,10,5,2,https://pbs.twimg.com/media/G0uwcaiaUAAMONC.jpg,,in,https://x.com/undefined/status/1966859667944181929,29,negative
2025-09-14 08:49:21+00:00,,jangan lupa kalo nyamperin mereka yang demo bayaran siapin hape comot satu wawancarain posting di sosmed,[],28,0,0,0,,,in,https://x.com/undefined/status/1967148651995967566,28,negative
